Detail,Facility,Current Rating,Last Inspection Date,City,Address
FoodInspectDetail.aspx?id=FA0010490,101 Merced Inc. DBA: 88 Bao Bao,Good,10/9/2024,Merced,3564 G St.
FoodInspectDetail.aspx?id=FA0007702,17th Street Public House,Good,5/21/2024,Merced,315 W. Main St.
FoodInspectDetail.aspx?id=FA0006802,3 Hermanos Meat Market & Taqueria,Good,10/21/2025,Merced,9 W. Alexander Ave.
FoodInspectDetail.aspx?id=FA0000598,33 Drive-Up Market,Good,9/25/2023,Gustine,335 4th St.
FoodInspectDetail.aspx?id=FA0010841,35th District Ag. Association DBA Merced County Fair,Good,4/27/2026,Merced,900 Martin Luther King Jr Way
FoodInspectDetail.aspx?id=FA0005645,4 Stop Deli-Market,Good,8/16/2023,Le Grand,8979 E. Le Grand Road
FoodInspectDetail.aspx?id=FA0010279,7 Eleven 41973A,Good,10/18/2023,Merced,1995 W. Olive Ave.
FoodInspectDetail.aspx?id=FA0007914,7 Eleven Store #2368-39548 B,Good,2/19/2026,Delhi,9510 Stephens St.
FoodInspectDetail.aspx?id=FA0005275,7 Star Liquor,Good,11/4/2025,Merced,1230 E Martin Luther King Jr Way
FoodInspectDetail.aspx?id=FA0010389,7 Star Smoke Shop,Good,5/6/2024,Gustine,425 5th St.
FoodInspectDetail.aspx?id=FA0006714,7-Eleven #2368-14110 G,Good,4/2/2026,Merced,77 E. Olive Ave.
FoodInspectDetail.aspx?id=FA0008761,7-Eleven 22736G,Good,8/23/2024,Los Banos,603 Pacheco Blvd #A
FoodInspectDetail.aspx?id=FA0007785,7-Eleven 2368-36437A,Good,3/25/2025,Atwater,1507 Bell Dr.
FoodInspectDetail.aspx?id=FA0008998,7-ELEVEN 37970B,Good,10/10/2024,Atwater,100 E. Bellevue Road
FoodInspectDetail.aspx?id=FA0009188,7-Eleven 38704A,Satisfactory,5/1/2024,Los Banos,390 N. Mercey Springs Road
FoodInspectDetail.aspx?id=FA0010002,7-Eleven 41901H,Good,5/9/2025,Merced,3660 G St.
FoodInspectDetail.aspx?id=FA0008982,7-Eleven Store 37974B,Good,3/31/2025,Merced,1107 W. Olive Ave.
FoodInspectDetail.aspx?id=FA0003712,89 Cent Plus Store,Satisfactory,2/11/2025,Atwater,1485 Broadway Ave
FoodInspectDetail.aspx?id=FA0007077,98¢ Mostly,Good,3/26/2024,Livingston,1471 B St. Ste J
FoodInspectDetail.aspx?id=FA0007112,A & A Nutrition,Good,10/9/2025,Los Banos,888 4th St. Ste C
FoodInspectDetail.aspx?id=FA0000764,A & M Market,Good,7/19/2023,Merced,402 W 23rd St
FoodInspectDetail.aspx?id=FA0001020,A Reyes Elementary School,Good,3/18/2026,Merced,123 N St
FoodInspectDetail.aspx?id=FA0005623,Abby's Diner,Good,3/19/2025,Dos Palos,16447 S. Elgin Ave.
FoodInspectDetail.aspx?id=FA0010256,Ace Sushi @ Save Mart 102,Good,4/11/2024,Atwater,1701 Bellevue Road
FoodInspectDetail.aspx?id=FA0010264,Ace Sushi @ Save Mart 53,Good,4/14/2026,Merced,150 W. Olive Ave.
FoodInspectDetail.aspx?id=FA0010167,Ace Sushi @ Save Mart 631,Good,8/26/2024,Los Banos,1400 Mercey Springs
FoodInspectDetail.aspx?id=FA0002440,Ada Givens School,Good,5/8/2026,Merced,2900 Green St.
FoodInspectDetail.aspx?id=FA0006684,Adel's Mini Mart,Satisfactory,1/3/2024,Merced,331 S. Highway 59
FoodInspectDetail.aspx?id=FA0006209,AFC Sushi @ Raley's #309,Good,4/25/2024,Merced,3550 N. G St.
FoodInspectDetail.aspx?id=FA0008290,Ag Link / Tri-Tipery,Good,12/1/2023,Ballico,11359 N. Newport Road
FoodInspectDetail.aspx?id=FA0010418,Agaves Mexican Grill,Good,6/20/2024,Merced,779 E. Yosemite Ave. Ste A+ B
FoodInspectDetail.aspx?id=FA0005998,Agaves Mexican Grill 2,Good,4/7/2025,Atwater,1857 Bellevue Road
FoodInspectDetail.aspx?id=FA0006908,Aguileras Market (DBA) Mi Rancho Super Market (Corporation),Satisfactory,5/20/2024,Winton,6982 Winton Way
FoodInspectDetail.aspx?id=FA0000840,Aileen Colburn School,Good,4/30/2026,Atwater,2201 Heller St
FoodInspectDetail.aspx?id=FA0006560,Alfredo's Taqueria y Panaderia,Satisfactory,3/16/2026,Winton,6963 N. Winton Way
FoodInspectDetail.aspx?id=FA0007124,Alma's Breakfast Club,Good,3/14/2024,Dos Palos,1524 Center Ave.
FoodInspectDetail.aspx?id=FA0000161,Almond Tree Restaurant,Satisfactory,5/28/2025,Atwater,1490 Sycamore Ave.
FoodInspectDetail.aspx?id=FA0005402,"Alskii Inc, DBA: Strings Italian Cafe",Good,3/10/2025,Merced,731 E. Yosemite Ave. Ste A
FoodInspectDetail.aspx?id=FA0001218,Amaya's Aguas Frescas Mexicanas,Good,4/7/2026,Merced,851 Olive Ave. Ste 206
FoodInspectDetail.aspx?id=FA0001765,American Legion Post #83,Good,3/10/2026,Merced,939 W Main St.
FoodInspectDetail.aspx?id=FA0000770,Amigos Mini Mart,Good,2/26/2026,Merced,645 W. 11th St.
FoodInspectDetail.aspx?id=FA0009160,AMPM 7124,Good,4/24/2024,Merced,810 S. Coffee St.
FoodInspectDetail.aspx?id=FA0010387,Ampm Arco,Good,4/30/2024,Livingston,2080 Campbell Blvd
FoodInspectDetail.aspx?id=FA0009795,Anberry Post Acute,Good,2/6/2024,Merced,1000 W. Yosemite Ave.
FoodInspectDetail.aspx?id=FA0009736,Applebee's,Good,4/1/2026,Merced,1734 W. Olive Ave.
FoodInspectDetail.aspx?id=FA0008268,Applebee's Restaurant,Good,10/6/2025,Atwater,820 Commerce Ave.
FoodInspectDetail.aspx?id=FA0009819,Applegate Chevron Food Mart,Satisfactory,11/1/2024,Atwater,1500 Sycamore Ave
FoodInspectDetail.aspx?id=FA0009632,Applegate Market,Satisfactory,3/28/2024,Atwater,1044 N. Applegate Road
FoodInspectDetail.aspx?id=FA0008793,Applegate Stop N Shop,Satisfactory,4/8/2026,Atwater,1619 Sycamore Ave.
FoodInspectDetail.aspx?id=FA0000954,Apricot Hill Fruit Stand,Good,3/7/2024,Santa Nella,W Hwy 152 & Hilldale
FoodInspectDetail.aspx?id=FA0005306,AR United Corporation DBA Royal India Indian Cuisine,Satisfactory,6/12/2026,Merced,3040 Park Ave. Ste E-2
FoodInspectDetail.aspx?id=FA0010043,"Arcilla's Asian Market, Inc.",Good,3/25/2026,Los Banos,1989 E. Pacheco Blvd Ste L
FoodInspectDetail.aspx?id=FA0009778,Arco 82723,Good,6/6/2023,Merced,3100 G St
FoodInspectDetail.aspx?id=FA0009414,ARCO AM PM,Good,4/5/2024,Merced,1625 McSwain Road
FoodInspectDetail.aspx?id=FA0009759,Arco Am/Pm,Satisfactory,3/26/2024,Atwater,1615 Bell Dr.
FoodInspectDetail.aspx?id=FA0009823,Arco AM/PM #83945,Good,4/3/2024,Los Banos,2027 E. Pacheco Blvd
FoodInspectDetail.aspx?id=FA0008740,Arco AM/PM/Pennywise Travel Center,Good,12/12/2024,Santa Nella,12185 State highway 33
FoodInspectDetail.aspx?id=FA0008621,ARCO ampm,Good,3/25/2024,Merced,2070 E. Childs Ave.
FoodInspectDetail.aspx?id=FA0010049,Arco ampm,Satisfactory,2/19/2026,Merced,3101 N. Highway 59
FoodInspectDetail.aspx?id=FA0006338,ASC Kitchen,Good,9/27/2024,Atwater,168 E. Broadway Ave.
FoodInspectDetail.aspx?id=FA0006300,Atwater Market,Good,8/12/2024,Atwater,1450 Shaffer Road
FoodInspectDetail.aspx?id=FA0007127,Atwater Baskin Robbins,Good,1/29/2025,Atwater,1607 Bellevue Road
FoodInspectDetail.aspx?id=FA0010032,Atwater Grocery Outlet,Good,3/29/2024,Atwater,1093 Bellevue Road
FoodInspectDetail.aspx?id=FA0008233,Atwater Memorial Building (Castle Veterans Organization),Satisfactory,12/5/2025,Atwater,1390 Broadway
FoodInspectDetail.aspx?id=FA0009628,Atwater Mini Mart,Good,11/24/2025,Atwater,1198 Winton Way
