Facility,Current Rating,Last Inspection Date,City,Address
101 Merced Inc. DBA: 88 Bao Bao,Good,10/9/2024,Merced,3564 G St.
17th Street Public House,Good,5/21/2024,Merced,315 W. Main St.
3 Hermanos Meat Market & Taqueria,Good,10/21/2025,Merced,9 W. Alexander Ave.
35th District Ag. Association DBA Merced County Fair,Good,4/27/2026,Merced,900 Martin Luther King Jr Way
7 Eleven 41973A,Good,10/18/2023,Merced,1995 W. Olive Ave.
7 Star Liquor,Good,11/4/2025,Merced,1230 E Martin Luther King Jr Way
7-Eleven #2368-14110 G,Good,4/2/2026,Merced,77 E. Olive Ave.
7-Eleven 41901H,Good,5/9/2025,Merced,3660 G St.
7-Eleven Store 37974B,Good,3/31/2025,Merced,1107 W. Olive Ave.
A & M Market,Good,7/19/2023,Merced,402 W 23rd St
A Reyes Elementary School,Good,3/18/2026,Merced,123 N St
Ace Sushi @ Save Mart 53,Good,4/14/2026,Merced,150 W. Olive Ave.
Ada Givens School,Good,5/8/2026,Merced,2900 Green St.
Adel's Mini Mart,Satisfactory,1/3/2024,Merced,331 S. Highway 59
AFC Sushi @ Raley's #309,Good,4/25/2024,Merced,3550 N. G St.
Agaves Mexican Grill,Good,6/20/2024,Merced,779 E. Yosemite Ave. Ste A+ B
"Alskii Inc, DBA: Strings Italian Cafe",Good,3/10/2025,Merced,731 E. Yosemite Ave. Ste A
Amaya's Aguas Frescas Mexicanas,Good,4/7/2026,Merced,851 Olive Ave. Ste 206
American Legion Post #83,Good,3/10/2026,Merced,939 W Main St.
Amigos Mini Mart,Good,2/26/2026,Merced,645 W. 11th St.
AMPM 7124,Good,4/24/2024,Merced,810 S. Coffee St.
Anberry Post Acute,Good,2/6/2024,Merced,1000 W. Yosemite Ave.
Applebee's,Good,4/1/2026,Merced,1734 W. Olive Ave.
AR United Corporation DBA Royal India Indian Cuisine,Satisfactory,6/12/2026,Merced,3040 Park Ave. Ste E-2
Arco 82723,Good,6/6/2023,Merced,3100 G St
ARCO AM PM,Good,4/5/2024,Merced,1625 McSwain Road
ARCO ampm,Good,3/25/2024,Merced,2070 E. Childs Ave.
Arco ampm,Satisfactory,2/19/2026,Merced,3101 N. Highway 59
Automatic Coffee Service,Good,6/12/2023,Merced,2115 W. Wardrobe Ave.
B.P.O.E. Merced Lodge # 1240,Good,1/4/2024,Merced,1910 M St
Baby Shop #6,Good,9/30/2024,Merced,1225 W. Main St.
Bag O' Crab MC LLC,Good,8/28/2025,Merced,455 W. Olive Ave.
Bagel Tyme,Good,9/4/2024,Merced,3040 Park Ave. # D
Bangkok Thai Restaurant,Satisfactory,9/18/2024,Merced,235 A W. Main St.
Bar B Q Pit,Good,6/27/2023,Merced,1720 G St.
Baskin-Robbins,Good,3/14/2024,Merced,293 Merced Mall
Bella Luna / The Goods Market & Deli,Good,9/18/2025,Merced,350 W. Main St.
Bernie's Liquors,Good,12/7/2023,Merced,2232 G St.
Best Buy Market,Good,12/6/2024,Merced,1220 W. 9th St
Best Western Inn,Good,1/23/2024,Merced,1033 Motel Dr.
"Bi-Rite Liquors Merced, Inc.",Good,2/11/2026,Merced,1103 Martin Luther King Jr Way
Black Bear Diner,Satisfactory,5/10/2024,Merced,1435 V St.
Body Shak Nutrition & Tanning,Good,9/5/2024,Merced,2949 G St.
Boys & Girls Club of Merced,Good,3/20/2024,Merced,615 W. 15th St.
"Brock Enterprises, Inc. - (Dippin Dots)",Good,6/15/2023,Merced,851 W. Olive Ave.
Burger King #16899,Good,11/1/2023,Merced,1965 E. Childs Ave.
Burger King #1878,Good,12/12/2025,Merced,555 W. Olive Ave.
Burger Time,Satisfactory,9/25/2024,Merced,661 W. 16th St.
Burlington #1572,Good,10/6/2025,Merced,3138 R St.
Buy and Bye Market,Good,6/27/2023,Merced,1108 G St
C&D Petro Inc Arco AMPM #83955,Good,11/13/2024,Merced,1295 W. Yosemite Ave.
California Liquor & Grocery,Satisfactory,2/28/2024,Merced,1122 R St
"California Motel, LLC",Good,3/25/2024,Merced,205 E. 16th St.
Campus Cafe,Good,1/19/2024,Merced,3600 M St.
Cardenas Markets #223,Good,4/13/2026,Merced,1136 W. Main St.
Carl's Jr. #238,Good,9/30/2024,Merced,1400 V St.
Carl's Jr. #597,Good,9/4/2024,Merced,300 W Olive Ave.
Carniceria 3 Hermanos,Good,2/25/2026,Merced,1055 W. Childs Ave.
Carniceria Dos Gallos #1,Good,10/22/2025,Merced,1122 R St.
Carniceria El Jarocho,Good,5/14/2025,Merced,2980 Beachwood Dr.
Carniceria Los Gordos Meat Market,Good,2/11/2026,Merced,1103 Martin Luther King Jr Way
Carniceria Los Navarrete,Satisfactory,7/24/2023,Merced,45 E. 16th St.
Carniceria Rio Grande,Good,12/6/2024,Merced,1220 W. 9th St.
Carniceria Superior,Good,10/16/2024,Merced,1725 W. Hwy 140
Carnitas Michoacan,Satisfactory,3/19/2025,Merced,1540 Yosemite Pkwy
Casa Frida Sabores De Mexico Inc,Good,10/6/2025,Merced,1715 W. State Highway 140
Casino Merced,Satisfactory,12/4/2024,Merced,"1459 Martin Luther King Jr Way Ste 4,5,6"
Central Presbyterian Church,Good,4/16/2026,Merced,1920 Canal St.
Central Valley Pace,Good,1/19/2024,Merced,727 W. Childs Ave.
Century Chevron #359664,Good,12/11/2023,Merced,655 E Main St
"CG Hospitality Group, Inc. dba: Round Table Pizza",Good,5/17/2024,Merced,1728 W. Olive Ave.
Champion Grill Buffet,Good,4/7/2026,Merced,475 W. Olive Ave.
Charles Wright School,Good,5/8/2026,Merced,900 E. 20th St.
Chenoweth Elementary School,Good,5/12/2026,Merced,3200 Parsons
Chili's,Good,6/6/2023,Merced,1075 W. Olive Ave.
China Caff,Satisfactory,5/7/2026,Merced,2840 G St.
Chipotle Mexican Grill #1954,Good,1/22/2024,Merced,3110 R St. Ste A
Chipotle Mexican Grill #4840,Good,2/21/2025,Merced,3120 Campus Parkway
Christian Life Center,Satisfactory,8/17/2023,Merced,650 E. Olive Ave.
Cigarette & Cigars,Good,3/26/2025,Merced,3528 G St.
Cigarettes & Snacks,Good,12/11/2024,Merced,1242 W. Olive Ave.
Circle G Mini Mart,Good,6/6/2023,Merced,3250 N G St E
"CLCM Company Inc, dba Carniceria Los Cerritos",Satisfactory,10/11/2024,Merced,235 W. 12th St. Ste I
Club Demonstration Services Inc. (Costco),Good,4/17/2026,Merced,1445 R St.
Club Mercedes Inc.,Good,11/22/2022,Merced,569 W 9th St
Coconut Cafe,Good,1/8/2025,Merced,3368 N. Hwy 59 Ste N
Coffee Bandits,Satisfactory,12/1/2023,Merced,309 W. Main St.
Coldstone Creamery,Satisfactory,9/26/2025,Merced,431 W. Main St.
Costco Warehouse Break Room (Valley Wide Vending),Good,4/17/2026,Merced,1445 R St.
Costco Wholesale #142,Good,4/17/2026,Merced,1445 R St.
Country Villa Merced Behavioral Health Center,Good,7/28/2025,Merced,1255 B St.
Country Waffles #928,Good,11/14/2024,Merced,1794 W. Olive Ave.
Courtyard by Marriott,Good,3/21/2024,Merced,750 Motel Dr.
Cousins Corner,Good,8/1/2025,Merced,260 W. 18th St.
Cruickshank Middle School,Good,5/15/2026,Merced,601 Mercy Dr.
CVS Pharmacy #7206,Good,3/13/2024,Merced,1970 Yosemite Pkwy
CVS Pharmacy #9623,Good,2/28/2024,Merced,649 W. Olive Ave.
Daljit Atwal DBA Circle R Mini Mart,Satisfactory,3/14/2024,Merced,1210 R St.
Danielson Pre-School (Classroom 1-2),Good,5/12/2026,Merced,1235 N St.
Days Inn Yosemite Area Merced,Satisfactory,4/13/2026,Merced,1215 R St.
Del Taco,Good,5/22/2024,Merced,1798 W. Olive Ave.
Deli-Delicious,Satisfactory,9/12/2024,Merced,570 W. Olive Ave.
Denny's Restaurant #6217,Good,1/8/2025,Merced,1128 W. 13th St.
Destino's,Good,9/11/2024,Merced,460 W. Main St.
Diamond Gas and Market 16,Good,1/6/2026,Merced,1720 R St.
Dollar General #13358,Good,2/26/2026,Merced,1729 W. State Highway 140
Dollar Tree #01222,Good,12/7/2023,Merced,1115 W. Main St.
Dollar Tree #06389,Good,12/8/2023,Merced,3142 G St. Ste 3
