Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgComp,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,RoomType,RoomName,WingType,WingName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,MatchID,PotentialID,MatchNarrative,StrucType,StrucDet,IN_Address,IN_Address2,IN_Address3,IN_Neighborhood,IN_City,IN_Subregion,IN_Region,IN_Postal,IN_PostalExt,IN_CountryCode,USER_facility,USER_current_rating,USER_last_inspection_date,USER_city,USER_address,USER_state,quality_score
World,M,100.000000000000000,A,"3564 G St, Merced, California, 95340","3564 G St, Merced, CA, 95340, USA",3564 G St,PointAddress,,,"3564 G St, Merced, California, 95340",,,19.500000000000000,,3564,,,,,,,G,St,,,,,,,,,,,,,,3564 G St,,,,,Merced,,Merced County,California,CA,,,95340,0692,USA,United States,ENG,0.000000000000000,-120.469040349343999,37.331245554299997,-120.466797268234998,37.331230634512004,-120.467797268235998,-120.465797268234994,37.330230634511999,37.332230634512001,,AQGN6AAAY/EBAJUBBAAAAAAMCEcgU1RSRUVUFQQzNTY0ZgNFTkc,,,Commercial,,3564 G St.,,,,Merced,,California,,,,101 Merced Inc. DBA: 88 Bao Bao,Good,10/9/2024,Merced,3564 G St.,California,1
World,M,100.000000000000000,A,"9 W Alexander Ave, Merced, California, 95348","9 W Alexander Ave, Merced, CA, 95348, USA",9 W Alexander Ave,PointAddress,,,"9 W Alexander Ave, Merced, California, 95348",,,19.500000000000000,,9,,,,,W,,Alexander,Ave,,,,,,,,,,,,,,9 W Alexander Ave,,,,,Merced,,Merced County,California,CA,,,95348,3404,USA,United States,ENG,0.000000000000000,-120.470679849605006,37.315073426494003,-120.470833741348002,37.315717575752998,-120.471833741347993,-120.469833741347998,37.314717575753001,37.316717575753003,,AQGJ6AAAU/EBAJUBBAAAAAAMFVdFU1QgQUxFWEFOREVSIEFWRU5VRRUBOWYDRU5H,,,Commercial,,9 W. Alexander Ave.,,,,Merced,,California,,,,3 Hermanos Meat Market & Taqueria,Good,10/21/2025,Merced,9 W. Alexander Ave.,California,1
World,M,100.000000000000000,A,"1995 W Olive Ave, Merced, California, 95348","1995 W Olive Ave, Merced, CA, 95348, USA",1995 W Olive Ave,PointAddress,,,"1995 W Olive Ave, Merced, California, 95348",,,19.500000000000000,,1995,,,,,W,,Olive,Ave,,,,,,,,,,,,,,1995 W Olive Ave,,,,,Merced,,Merced County,California,CA,,,95348,1206,USA,United States,ENG,0.000000000000000,-120.504321037094996,37.319186300654003,-120.504327910255995,37.319732633103001,-120.505327910256000,-120.503327910256004,37.318732633102996,37.320732633102999,,AQFn6AAAV/EBAJUBBAAAAAAMEVdFU1QgT0xJVkUgQVZFTlVFFQQxOTk1ZgNFTkc,,,Commercial,,1995 W. Olive Ave.,,,,Merced,,California,,,,7 Eleven 41973A,Good,10/18/2023,Merced,1995 W. Olive Ave.,California,1
World,M,100.000000000000000,A,"77 E Olive Ave, Merced, California, 95340","77 E Olive Ave, Merced, CA, 95340, USA",77 E Olive Ave,PointAddress,,,"77 E Olive Ave, Merced, California, 95340",,,19.500000000000000,,77,,,,,E,,Olive,Ave,,,,,,,,,,,,,,77 E Olive Ave,,,,,Merced,,Merced County,California,CA,,,95340,2226,USA,United States,ENG,0.000000000000000,-120.468437103772999,37.318551874401997,-120.468436600858993,37.318858819696999,-120.469436600858998,-120.467436600859003,37.317858819697001,37.319858819696996,,AQGL6AAAVvEBAJUBBAAAAAAMEUVBU1QgT0xJVkUgQVZFTlVFFQI3N2YDRU5H,,,Commercial,,77 E. Olive Ave.,,,,Merced,,California,,,,7-Eleven #2368-14110 G,Good,4/2/2026,Merced,77 E. Olive Ave.,California,1
World,M,100.000000000000000,A,"3660 G St, Merced, California, 95340","3660 G St, Merced, CA, 95340, USA",3660 G St,PointAddress,,,"3660 G St, Merced, California, 95340",,,19.500000000000000,,3660,,,,,,,G,St,,,,,,,,,,,,,,3660 G St,,,,,Merced,,Merced County,California,CA,,,95340,9200,USA,United States,ENG,0.000000000000000,-120.468958290512006,37.333640850770003,-120.468575321355999,37.333640766951000,-120.469575321356004,-120.467575321355994,37.332640766951002,37.334640766950997,,AQGL6AAAZfEBAJUBBAAAAAAMCEcgU1RSRUVUFQQzNjYwZgNFTkc,,,Commercial,,3660 G St.,,,,Merced,,California,,,,7-Eleven 41901H,Good,5/9/2025,Merced,3660 G St.,California,1
World,M,100.000000000000000,A,"2255 E Gerard Ave, Merced, California, 95341","2255 E Gerard Ave, Merced, CA, 95341, USA",2255 E Gerard Ave,PointAddress,,,"2255 E Gerard Ave, Merced, California, 95341",,,20.000000000000000,,2255,,,,,E,,Gerard,Ave,,,,,,,,,,,,,,2255 E Gerard Ave,,,,,Merced,,Merced County,California,CA,,,95341,5429,USA,United States,ENG,0.000000000000000,-120.445805378466005,37.280523053967002,-120.445805378466005,37.280848607086000,-120.446805378465996,-120.444805378466000,37.279848607086002,37.281848607085998,,AQGi6AAAMPEBAJUBBAAAAAAMEkVBU1QgR0VSQVJEIEFWRU5VRRUEMjI1NWYDRU5H,,,,,2255 E. Gerard Ave.,,,,Merced,,California,,,,7-ELEVEN STORE #16459,Good,9/27/2024,Merced,2255 E. Gerard Ave.,California,1
World,M,100.000000000000000,A,"1107 W Olive Ave, Merced, California, 95348","1107 W Olive Ave, Merced, CA, 95348, USA",1107 W Olive Ave,PointAddress,,,"1107 W Olive Ave, Merced, California, 95348",,,19.500000000000000,,1107,,,,,W,,Olive,Ave,,,,,,,,,,,,,,1107 W Olive Ave,,,,,Merced,,Merced County,California,CA,,,95348,1953,USA,United States,ENG,0.000000000000000,-120.487287836375998,37.319311777743998,-120.487289512757002,37.319533562902002,-120.488289512757007,-120.486289512756997,37.318533562901997,37.320533562902000,,AQF46AAAV/EBAJUBBAAAAAAMEVdFU1QgT0xJVkUgQVZFTlVFFQQxMTA3ZgNFTkc,,,Commercial,,1107 W. Olive Ave.,,,,Merced,,California,,,,7-Eleven Store 37974B,Good,3/31/2025,Merced,1107 W. Olive Ave.,California,1
World,M,100.000000000000000,A,"315 W Main St, Merced, California, 95340","315 W Main St, Merced, CA, 95340, USA",315 W Main St,PointAddress,,,"315 W Main St, Merced, California, 95340",,,19.500000000000000,,315,,,,,W,,Main,St,,,,,,,,,,,,,,315 W Main St,,,,,Merced,,Merced County,California,CA,,,95340,4819,USA,United States,ENG,0.000000000000000,-120.480792029053006,37.300488076778002,-120.480731176435995,37.300650518062000,-120.481731176436000,-120.479731176436005,37.299650518062002,37.301650518061997,,AQF/6AAARPEBAJUBBAAAAAAMEFdFU1QgTUFJTiBTVFJFRVQVAzMxNWYDRU5H,,,Commercial,,315 W. Main St.,,,,Merced,,California,,,,17th Street Public House,Good,5/21/2024,Merced,315 W. Main St.,California,1
World,M,100.000000000000000,A,"402 W 23rd St, Merced, California, 95340","402 W 23rd St, Merced, CA, 95340, USA",402 W 23rd St,PointAddress,,,"402 W 23rd St, Merced, California, 95340",,,19.500000000000000,,402,,,,,W,,23rd,St,,,,,,,,,,,,,,402 W 23rd St,,,,,Merced,,Merced County,California,CA,,,95340,3723,USA,United States,ENG,0.000000000000000,-120.478608878551995,37.306949811665000,-120.478672078101994,37.306781838325001,-120.479672078101999,-120.477672078102003,37.305781838324997,37.307781838324999,,AQGB6AAASvEBAJUBBAAAAAAMEFdFU1QgMjNSRCBTVFJFRVQVAzQwMmYDRU5H,,,Commercial,,402 W 23rd St,,,,Merced,,California,,,,A & M Market,Good,7/19/2023,Merced,402 W 23rd St,California,1
World,M,100.000000000000000,A,"150 W Olive Ave, Merced, California, 95348","150 W Olive Ave, Merced, CA, 95348, USA",150 W Olive Ave,PointAddress,,,"150 W Olive Ave, Merced, California, 95348",,,19.500000000000000,,150,,,,,W,,Olive,Ave,,,,,,,,,,,,,,150 W Olive Ave,,,,,Merced,,Merced County,California,CA,,,95348,3166,USA,United States,ENG,0.000000000000000,-120.471234396320000,37.318470360394002,-120.471321903388997,37.317797964120999,-120.472321903389002,-120.470321903389006,37.316797964121001,37.318797964121003,,AQGI6AAAVfEBAJUBBAAAAAAMEVdFU1QgT0xJVkUgQVZFTlVFFQMxNTBmA0VORw,,,Commercial,,150 W. Olive Ave.,,,,Merced,,California,,,,Ace Sushi @ Save Mart 53,Good,4/14/2026,Merced,150 W. Olive Ave.,California,1
World,M,100.000000000000000,A,"331 S State Highway 59, Merced, California, 95341","331 S State Highway 59, Merced, CA, 95341, USA",331 S State Highway 59,PointAddress,,,"331 S State Highway 59, Merced, California, 95341",,,19.500000000000000,,331,,,,,S,,State Highway 59,,,,,,,,,,,,,,,331 S State Highway 59,,,,,Merced,,Merced County,California,CA,,,95341,6921,USA,United States,ENG,0.000000000000000,-120.487615317332995,37.284027695322003,-120.487885214616000,37.284032137731003,-120.488885214616005,-120.486885214615995,37.283032137730999,37.285032137731001,,AQF46AAANPEBAJUBBAAAAAAMFlNPVVRIIFNUQVRFIEhJR0hXQVkgNTkVAzMzMWYDRU5H,,,Commercial,,331 S. Highway 59,,,,Merced,,California,,,,Adel's Mini Mart,Satisfactory,1/3/2024,Merced,331 S. Highway 59,California,2
World,M,100.000000000000000,A,"731 E Yosemite Ave, Suite A, Merced, California, 95340","731 E Yosemite Ave, Suite A, Merced, CA, 95340, USA","731 E Yosemite Ave, Suite A",Subaddress,,,"731 E Yosemite Ave, Suite A, Merced, California, 95340",,,20.000000000000000,,731,,,,,E,,Yosemite,Ave,,,,,,,Suite,A,,,,,Suite A,731 E Yosemite Ave,,,,,Merced,,Merced County,California,CA,,,95340,8039,USA,United States,ENG,0.000000000000000,-120.461084246850007,37.332887024308000,-120.461084246850007,37.332887024308000,-120.462084246849997,-120.460084246850002,37.331887024308003,37.333887024307998,,AQCS6AAAZPEBAJUBBAAAAAAMFEVBU1QgWU9TRU1JVEUgQVZFTlVFFQM3MzEcAzA6QWYDRU5H,,,,,731 E. Yosemite Ave. Ste A,,,,Merced,,California,,,,"Alskii Inc, DBA: Strings Italian Cafe",Good,3/10/2025,Merced,731 E. Yosemite Ave. Ste A,California,1
World,M,99.939999999999998,A,"779 E Yosemite Ave, Suite A, Merced, California, 95340","779 E Yosemite Ave, Suite A, Merced, CA, 95340, USA","779 E Yosemite Ave, Suite A",Subaddress,,,"779 E Yosemite Ave, Suite A, Merced, California, 95340",,,20.000000000000000,,779,,,,,E,,Yosemite,Ave,,,,,,,Suite,A,,,,,Suite A,779 E Yosemite Ave,,,,,Merced,,Merced County,California,CA,,,95340,8041,USA,United States,ENG,0.000000000000000,-120.460246643266004,37.332357246118001,-120.460246643266004,37.332357246118001,-120.461246643265994,-120.459246643265999,37.331357246118003,37.333357246117998,B,AQCT6AAAZPEBAJUBBAAAAAAMFEVBU1QgWU9TRU1JVEUgQVZFTlVFFQM3NzkcAzA6QWYDRU5H,,,,,779 E. Yosemite Ave. Ste A+ B,,,,Merced,,California,,,,Agaves Mexican Grill,Good,6/20/2024,Merced,779 E. Yosemite Ave. Ste A+ B,California,1
World,M,98.750000000000000,A,"3550 G St, Merced, California, 95340","3550 G St, Merced, CA, 95340, USA",3550 G St,PointAddress,,,"3550 G St, Merced, California, 95340",,,19.500000000000000,,3550,,,,,,,G,St,,,,,,,,,,,,,,3550 G St,,,,,Merced,,Merced County,California,CA,,,95340,0691,USA,United States,ENG,0.000000000000000,-120.469047976875999,37.330836978428998,-120.467481147716001,37.330805546291998,-120.468481147716005,-120.466481147715996,37.329805546292000,37.331805546292003,,AQGM6AAAYvEBAJUBBAAAAAAMCEcgU1RSRUVUFQQzNTUwZgNFTkc,,,Commercial,,3550 N. G St.,,,,Merced,,California,,,,AFC Sushi @ Raley's #309,Good,4/25/2024,Merced,3550 N. G St.,California,1
World,M,100.000000000000000,A,"645 W 11th St, Merced, California, 95341","645 W 11th St, Merced, CA, 95341, USA",645 W 11th St,PointAddress,,,"645 W 11th St, Merced, California, 95341",,,19.500000000000000,,645,,,,,W,,11th,St,,,,,,,,,,,,,,645 W 11th St,,,,,Merced,,Merced County,California,CA,,,95341,5901,USA,United States,ENG,0.000000000000000,-120.489123556991004,37.295981253169998,-120.489000007737999,37.296331951997999,-120.490000007738004,-120.488000007737995,37.295331951998001,37.297331951997997,,AQF26AAAQPEBAJUBBAAAAAAMEFdFU1QgMTFUSCBTVFJFRVQVAzY0NWYDRU5H,,,Residential,Single Family,645 W. 11th St.,,,,Merced,,California,,,,Amigos Mini Mart,Good,2/26/2026,Merced,645 W. 11th St.,California,1
World,T,100.000000000000000,A,"810 S Coffee St, Merced, California, 95341","810 S Coffee St, Merced, CA, 95341, USA",810 S Coffee St,PointAddress,,,"810 S Coffee St, Merced, California, 95341",,,19.500000000000000,,810,,,,,S,,Coffee,St,,,,,,,,,,,,,,810 S Coffee St,,,,,Merced,,Merced County,California,CA,,,95341,9524,USA,United States,ENG,0.000000000000000,-120.433470569752998,37.274841506628000,-120.433161277525997,37.274852989834997,-120.434161277526002,-120.432161277526006,37.273852989835000,37.275852989835002,,AQGu6AAAKvEBAJUBBAAAAAAME1NPVVRIIENPRkZFRSBTVFJFRVQVAzgxMGYDRU5H,,,Commercial,,810 S. Coffee St.,,,,Merced,,California,,,,AMPM 7124,Good,4/24/2024,Merced,810 S. Coffee St.,California,1
World,M,100.000000000000000,A,"1734 W Olive Ave, Merced, California, 95348","1734 W Olive Ave, Merced, CA, 95348, USA",1734 W Olive Ave,PointAddress,,,"1734 W Olive Ave, Merced, California, 95348",,,19.500000000000000,,1734,,,,,W,,Olive,Ave,,,,,,,,,,,,,,1734 W Olive Ave,,,,,Merced,,Merced County,California,CA,,,95348,1201,USA,United States,ENG,0.000000000000000,-120.497341761596999,37.319028678964003,-120.497339163207002,37.318692229371003,-120.498339163207007,-120.496339163206997,37.317692229370998,37.319692229371000,,AQFu6AAAVvEBAJUBBAAAAAAMEVdFU1QgT0xJVkUgQVZFTlVFFQQxNzM0ZgNFTkc,,,Commercial,,1734 W. Olive Ave.,,,,Merced,,California,,,,Applebee's,Good,4/1/2026,Merced,1734 W. Olive Ave.,California,1
World,M,100.000000000000000,A,"3100 G St, Merced, California, 95340","3100 G St, Merced, CA, 95340, USA",3100 G St,PointAddress,,,"3100 G St, Merced, California, 95340",,,20.000000000000000,,3100,,,,,,,G,St,,,,,,,,,,,,,,3100 G St,,,,,Merced,,Merced County,California,CA,,,95340,1308,USA,United States,ENG,0.000000000000000,-120.469215195844001,37.318700653184003,-120.468913866424998,37.318697719516997,-120.469913866425003,-120.467913866424993,37.317697719517000,37.319697719517002,,AQGL6AAAVvEBAJUBBAAAAAAMCEcgU1RSRUVUFQQzMTAwZgNFTkc,,,,,3100 G St,,,,Merced,,California,,,,Arco 82723,Good,6/6/2023,Merced,3100 G St,California,1
World,M,98.750000000000000,A,"1230 Martin Luther King Jr Way, Merced, California, 95341","1230 Martin Luther King Jr Way, Merced, CA, 95341, USA",1230 Martin Luther King Jr Way,PointAddress,,,"1230 Martin Luther King Jr Way, Merced, California, 95341",,,19.500000000000000,,1230,,,,,,,Martin Luther King Jr,Way,,,,,,,,,,,,,,1230 Martin Luther King Jr Way,,,,,Merced,,Merced County,California,CA,,,95341,6138,USA,United States,ENG,0.000000000000000,-120.482991272807993,37.295648868798999,-120.482693715246000,37.295488271533998,-120.483693715246005,-120.481693715245996,37.294488271534000,37.296488271534002,,AQF96AAAP/EBAJUBBAAAAAAMGU1BUlRJTiBMVVRIRVIgS0lORyBKUiBXQVkVBDEyMzBmA0VORw,,,Commercial,,1230 E Martin Luther King Jr Way,,,,Merced,,California,,,,7 Star Liquor,Good,11/4/2025,Merced,1230 E Martin Luther King Jr Way,California,1
World,M,100.000000000000000,A,"2070 E Childs Ave, Merced, California, 95341","2070 E Childs Ave, Merced, CA, 95341, USA",2070 E Childs Ave,PointAddress,,,"2070 E Childs Ave, Merced, California, 95341",,,19.500000000000000,,2070,,,,,E,,Childs,Ave,,,,,,,,,,,,,,2070 E Childs Ave,,,,,Merced,,Merced County,California,CA,,,95341,5351,USA,United States,ENG,0.000000000000000,-120.452254666225997,37.287774238403998,-120.452254330949998,37.287662004719998,-120.453254330950003,-120.451254330949993,37.286662004720000,37.288662004720003,,AQGb6AAAN/EBAJUBBAAAAAAMEkVBU1QgQ0hJTERTIEFWRU5VRRUEMjA3MGYDRU5H,,,,,2070 E. Childs Ave.,,,,Merced,,California,,,,ARCO ampm,Good,3/25/2024,Merced,2070 E. Childs Ave.,California,1
World,M,100.000000000000000,A,"3040 Park Ave, Suite E 2, Merced, California, 95348","3040 Park Ave, Suite E 2, Merced, CA, 95348, USA","3040 Park Ave, Suite E 2",Subaddress,,,"3040 Park Ave, Suite E 2, Merced, California, 95348",,,20.000000000000000,,3040,,,,,,,Park,Ave,,,,,,,Suite,E 2,,,,,Suite E 2,3040 Park Ave,,,,,Merced,,Merced County,California,CA,,,95348,3405,USA,United States,ENG,0.000000000000000,-120.472443485853006,37.317782834786001,-120.472443485853006,37.317782834786001,-120.473443485852997,-120.471443485853001,37.316782834785997,37.318782834785999,,AQCH6AAAVfEBAJUBBAAAAAAMC1BBUksgQVZFTlVFFQQzMDQwHAQwOkUyZgNFTkc,,,,,3040 Park Ave. Ste E-2,,,,Merced,,California,,,,AR United Corporation DBA Royal India Indian Cuisine,Satisfactory,6/12/2026,Merced,3040 Park Ave. Ste E-2,California,2
World,T,100.000000000000000,A,"1625 McSwain Rd, Merced, California, 95341","1625 McSwain Rd, Merced, CA, 95341, USA",1625 McSwain Rd,StreetAddress,,,"1625 McSwain Rd, Merced, California, 95341",,,20.000000000000000,,1625,1633,1613,1613-1633,L,,,McSwain,Rd,,,,,,,,,,,,,,1625 McSwain Rd,,,,,Merced,,Merced County,California,CA,,,95341,5620,USA,United States,ENG,0.000000000000000,-120.502912637289000,37.302931543302002,-120.502912637289000,37.302931543302002,-120.503912637289005,-120.501912637288996,37.301931543301997,37.303931543301999,,AQJp6AAARvEBAJUBBAAAAAAMDE1DU1dBSU4gUk9BRBUEMTYyNWYDRU5H,,,,,1625 McSwain Road,,,,Merced,,California,,,,ARCO AM PM,Good,4/5/2024,Merced,1625 McSwain Road,California,1
World,M,100.000000000000000,A,"455 W Olive Ave, Merced, California, 95348","455 W Olive Ave, Merced, CA, 95348, USA",455 W Olive Ave,PointAddress,,,"455 W Olive Ave, Merced, California, 95348",,,19.500000000000000,,455,,,,,W,,Olive,Ave,,,,,,,,,,,,,,455 W Olive Ave,,,,,Merced,,Merced County,California,CA,,,95348,3139,USA,United States,ENG,0.000000000000000,-120.475651156379001,37.319379210154999,-120.475635482220000,37.319736279230000,-120.476635482220004,-120.474635482219995,37.318736279230002,37.320736279229997,,AQGE6AAAV/EBAJUBBAAAAAAMEVdFU1QgT0xJVkUgQVZFTlVFFQM0NTVmA0VORw,,,Commercial,,455 W. Olive Ave.,,,,Merced,,California,,,,Bag O' Crab MC LLC,Good,8/28/2025,Merced,455 W. Olive Ave.,California,1
World,M,100.000000000000000,A,"3040 Park Ave, Suite D, Merced, California, 95348","3040 Park Ave, Suite D, Merced, CA, 95348, USA","3040 Park Ave, Suite D",Subaddress,,,"3040 Park Ave, Suite D, Merced, California, 95348",,,20.000000000000000,,3040,,,,,,,Park,Ave,,,,,,,Suite,D,,,,,Suite D,3040 Park Ave,,,,,Merced,,Merced County,California,CA,,,95348,3405,USA,United States,ENG,0.000000000000000,-120.472595952671000,37.317736105675998,-120.472595952671000,37.317736105675998,-120.473595952671005,-120.471595952670995,37.316736105676000,37.318736105676003,,AQCH6AAAVfEBAJUBBAAAAAAMC1BBUksgQVZFTlVFFQQzMDQwHAMwOkRmA0VORw,,,,,3040 Park Ave. # D,,,,Merced,,California,,,,Bagel Tyme,Good,9/4/2024,Merced,3040 Park Ave. # D,California,1
World,M,100.000000000000000,A,"3101 N State Highway 59, Merced, California, 95348","3101 N State Highway 59, Merced, CA, 95348, USA",3101 N State Highway 59,PointAddress,,,"3101 N State Highway 59, Merced, California, 95348",,,19.500000000000000,,3101,,,,,N,,State Highway 59,,,,,,,,,,,,,,,3101 N State Highway 59,,,,,Merced,,Merced County,California,CA,,,95348,4500,USA,United States,ENG,0.000000000000000,-120.505006509137004,37.319592990596000,-120.505611095812995,37.319641270357998,-120.506611095813000,-120.504611095813004,37.318641270358000,37.320641270358003,,AQFm6AAAV/EBAJUBBAAAAAAMFk5PUlRIIFNUQVRFIEhJR0hXQVkgNTkVBDMxMDFmA0VORw,,,Commercial,,3101 N. Highway 59,,,,Merced,,California,,,,Arco ampm,Satisfactory,2/19/2026,Merced,3101 N. Highway 59,California,2
World,M,100.000000000000000,A,"293 Merced Mall, Merced, California, 95348","293 Merced Mall, Merced, CA, 95348, USA",293 Merced Mall,PointAddress,,,"293 Merced Mall, Merced, California, 95348",,,19.500000000000000,,293,,,,,,,Merced,Mall,,,,,,,,,,,,,,293 Merced Mall,,,,,Merced,,Merced County,California,CA,,,95348,2412,USA,United States,ENG,0.000000000000000,-120.483372984678994,37.320320455972002,-120.483372984678994,37.320432019103997,-120.484372984678998,-120.482372984679003,37.319432019103999,37.321432019104002,,AQF86AAAWPEBAJUBBAAAAAAMC01FUkNFRCBNQUxMFQMyOTNmA0VORw,,,Commercial,,293 Merced Mall,,,,Merced,,California,,,,Baskin-Robbins,Good,3/14/2024,Merced,293 Merced Mall,California,1
