"Match_addr","Postal","X","Y","USER_facility","USER_current_rating","USER_last_inspection_date","quality_score","quality_label","google_status","google_place_id","google_name","google_address","google_lat","google_lng","google_rating","google_review_count","google_price_label","google_price_level","google_price_range_start","google_price_range_end","google_maps_uri","google_search_query","google_error"
"3564 G St, Merced, California, 95340","95340","-120.469040349343999","37.331245554299997","101 Merced Inc. DBA: 88 Bao Bao","Good","10/9/2024","1","Good","ERROR","","","","","","","","","","","","","101 Merced Inc. DBA: 88 Bao Bao 3564 G St, Merced, California, 95340 Merced CA 95340","HTTP 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Requests to this API places.googleapis.com method google.maps.places.v1.Places.SearchText are blocked."",
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""API_KEY_SERVICE_BLOCKED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""apiName"": ""places.googleapis.com"",
          ""methodName"": ""google.maps.places.v1.Places.SearchText"",
          ""service"": ""places.googleapis.com"",
          ""consumer"": ""projects/810573842466""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Requests to this API places.googleapis.com method google.maps.places.v1.Places.SearchText are blocked.""
      }
    ]
  }
}
"
"9 W Alexander Ave, Merced, California, 95348","95348","-120.470679849605006","37.315073426494003","3 Hermanos Meat Market & Taqueria","Good","10/21/2025","1","Good","ERROR","","","","","","","","","","","","","3 Hermanos Meat Market & Taqueria 9 W Alexander Ave, Merced, California, 95348 Merced CA 95348","HTTP 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry."",
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""SERVICE_DISABLED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""consumer"": ""projects/810573842466"",
          ""activationUrl"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466"",
          ""serviceTitle"": ""Places API (New)"",
          ""containerInfo"": ""810573842466"",
          ""service"": ""places.googleapis.com""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.""
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Google developers console API activation"",
            ""url"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466""
          }
        ]
      }
    ]
  }
}
"
"1995 W Olive Ave, Merced, California, 95348","95348","-120.504321037094996","37.319186300654003","7 Eleven 41973A","Good","10/18/2023","1","Good","ERROR","","","","","","","","","","","","","7 Eleven 41973A 1995 W Olive Ave, Merced, California, 95348 Merced CA 95348","HTTP 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry."",
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""SERVICE_DISABLED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""consumer"": ""projects/810573842466"",
          ""activationUrl"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466"",
          ""serviceTitle"": ""Places API (New)"",
          ""containerInfo"": ""810573842466"",
          ""service"": ""places.googleapis.com""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.""
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Google developers console API activation"",
            ""url"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466""
          }
        ]
      }
    ]
  }
}
"
"77 E Olive Ave, Merced, California, 95340","95340","-120.468437103772999","37.318551874401997","7-Eleven #2368-14110 G","Good","4/2/2026","1","Good","ERROR","","","","","","","","","","","","","7-Eleven #2368-14110 G 77 E Olive Ave, Merced, California, 95340 Merced CA 95340","HTTP 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry."",
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""SERVICE_DISABLED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""activationUrl"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466"",
          ""serviceTitle"": ""Places API (New)"",
          ""service"": ""places.googleapis.com"",
          ""consumer"": ""projects/810573842466"",
          ""containerInfo"": ""810573842466""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.""
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Google developers console API activation"",
            ""url"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466""
          }
        ]
      }
    ]
  }
}
"
"3660 G St, Merced, California, 95340","95340","-120.468958290512006","37.333640850770003","7-Eleven 41901H","Good","5/9/2025","1","Good","ERROR","","","","","","","","","","","","","7-Eleven 41901H 3660 G St, Merced, California, 95340 Merced CA 95340","HTTP 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry."",
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""SERVICE_DISABLED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""containerInfo"": ""810573842466"",
          ""activationUrl"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466"",
          ""service"": ""places.googleapis.com"",
          ""consumer"": ""projects/810573842466"",
          ""serviceTitle"": ""Places API (New)""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.""
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Google developers console API activation"",
            ""url"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466""
          }
        ]
      }
    ]
  }
}
"
"2255 E Gerard Ave, Merced, California, 95341","95341","-120.445805378466005","37.280523053967002","7-ELEVEN STORE #16459","Good","9/27/2024","1","Good","ERROR","","","","","","","","","","","","","7-ELEVEN STORE #16459 2255 E Gerard Ave, Merced, California, 95341 Merced CA 95341","HTTP 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Requests to this API places.googleapis.com method google.maps.places.v1.Places.SearchText are blocked."",
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""API_KEY_SERVICE_BLOCKED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""service"": ""places.googleapis.com"",
          ""consumer"": ""projects/810573842466"",
          ""apiName"": ""places.googleapis.com"",
          ""methodName"": ""google.maps.places.v1.Places.SearchText""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Requests to this API places.googleapis.com method google.maps.places.v1.Places.SearchText are blocked.""
      }
    ]
  }
}
"
"1107 W Olive Ave, Merced, California, 95348","95348","-120.487287836375998","37.319311777743998","7-Eleven Store 37974B","Good","3/31/2025","1","Good","ERROR","","","","","","","","","","","","","7-Eleven Store 37974B 1107 W Olive Ave, Merced, California, 95348 Merced CA 95348","HTTP 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry."",
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""SERVICE_DISABLED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""service"": ""places.googleapis.com"",
          ""consumer"": ""projects/810573842466"",
          ""activationUrl"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466"",
          ""serviceTitle"": ""Places API (New)"",
          ""containerInfo"": ""810573842466""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.""
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Google developers console API activation"",
            ""url"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466""
          }
        ]
      }
    ]
  }
}
"
"315 W Main St, Merced, California, 95340","95340","-120.480792029053006","37.300488076778002","17th Street Public House","Good","5/21/2024","1","Good","ERROR","","","","","","","","","","","","","17th Street Public House 315 W Main St, Merced, California, 95340 Merced CA 95340","HTTP 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry."",
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""SERVICE_DISABLED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""consumer"": ""projects/810573842466"",
          ""activationUrl"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466"",
          ""serviceTitle"": ""Places API (New)"",
          ""containerInfo"": ""810573842466"",
          ""service"": ""places.googleapis.com""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.""
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Google developers console API activation"",
            ""url"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466""
          }
        ]
      }
    ]
  }
}
"
"402 W 23rd St, Merced, California, 95340","95340","-120.478608878551995","37.306949811665000","A & M Market","Good","7/19/2023","1","Good","ERROR","","","","","","","","","","","","","A & M Market 402 W 23rd St, Merced, California, 95340 Merced CA 95340","HTTP 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry."",
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""SERVICE_DISABLED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""service"": ""places.googleapis.com"",
          ""consumer"": ""projects/810573842466"",
          ""activationUrl"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466"",
          ""serviceTitle"": ""Places API (New)"",
          ""containerInfo"": ""810573842466""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Places API (New) has not been used in project 810573842466 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.""
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Google developers console API activation"",
            ""url"": ""https://console.developers.google.com/apis/api/places.googleapis.com/overview?project=810573842466""
          }
        ]
      }
    ]
  }
}
"
"150 W Olive Ave, Merced, California, 95348","95348","-120.471234396320000","37.318470360394002","Ace Sushi @ Save Mart 53","Good","4/14/2026","1","Good","ERROR","","","","","","","","","","","","","Ace Sushi @ Save Mart 53 150 W Olive Ave, Merced, California, 95348 Merced CA 95348","HTTP 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Requests to this API places.googleapis.com method google.maps.places.v1.Places.SearchText are blocked."",
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""API_KEY_SERVICE_BLOCKED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""service"": ""places.googleapis.com"",
          ""consumer"": ""projects/810573842466"",
          ""apiName"": ""places.googleapis.com"",
          ""methodName"": ""google.maps.places.v1.Places.SearchText""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Requests to this API places.googleapis.com method google.maps.places.v1.Places.SearchText are blocked.""
      }
    ]
  }
}
"
